date,biz_day,regime,mode,rank,code,name,score,price,change_pct,expected_return_5d,entry_score,day_open,day_high,day_low,exit_price,actual_return,day_high_pct,day_low_pct
2026-05-14,2026-05-14,UPTREND,pro,17,090460,비에이치,68.1,37500,24.38,1.09,,,,,33150.0,-11.6,,
2026-05-14,2026-05-14,UPTREND,pro,18,081150,티플랙스,62.74,4790,11.53,0.54,,,,,,,,
2026-05-14,2026-05-14,UPTREND,pro,19,000370,한화손해보험,61.18,6850,9.08,0.47,,,,,6530.0,-4.67,,
2026-05-14,2026-05-14,UPTREND,pro,20,020560,아시아나항공,58.04,7870,16.94,0.34,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,1,001740,SK네트웍스,94.6,8720,10.38,2.68,,,,,8250.0,-5.39,,
2026-05-15,2026-05-15,UPTREND,pro,2,069260,TKG휴켐스,80.64,20100,12.86,1.84,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,3,004020,현대제철,78.33,46150,0.44,1.7,,,,,43450.0,-5.85,,
2026-05-15,2026-05-15,UPTREND,pro,4,033240,자화전자,72.74,55700,16.53,1.36,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,5,034220,LG디스플레이,72.61,14100,-8.08,0.95,,,,,13390.0,-5.04,,
2026-05-15,2026-05-15,UPTREND,pro,6,090710,휴림로봇,71.67,13120,3.88,1.3,78.55,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,7,035250,강원랜드,71.42,16300,0.49,1.29,,,,,15950.0,-2.15,,
2026-05-15,2026-05-15,UPTREND,pro,8,036540,SFA반도체,70.75,8610,3.99,1.24,77.87,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,9,105560,KB금융,68.68,155600,-0.26,0.78,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,10,092790,넥스틸,66.38,20700,12.07,0.98,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,11,454910,두산로보틱스,66.29,127400,19.29,0.98,,,,,117900.0,-7.46,,
2026-05-15,2026-05-15,UPTREND,pro,12,261780,차백신연구소,65.46,4195,13.07,0.65,,,,,3355.0,-20.02,,
2026-05-15,2026-05-15,UPTREND,pro,13,001800,오리온홀딩스,64.84,28300,14.11,0.89,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,14,204320,HL만도,64.52,61700,-1.91,0.61,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,15,064400,LG씨엔에스,63.46,86600,0.58,0.81,,,,,81300.0,-6.12,,
2026-05-15,2026-05-15,UPTREND,pro,16,010140,삼성중공업,62.5,29300,-2.82,0.52,,,,,29550.0,0.85,,
2026-05-15,2026-05-15,UPTREND,pro,17,214320,이노션,62.05,20850,1.96,0.51,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,18,018260,삼성에스디에스,61.74,189000,3.34,0.7,,,,,,,,
2026-05-15,2026-05-15,UPTREND,pro,19,003280,흥아해운,60.9,2740,0.37,0.46,,,,,2690.0,-1.82,,
2026-05-15,2026-05-15,UPTREND,pro,20,028670,팬오션,60.57,6030,-1.47,0.44,,,,,5950.0,-1.33,,
2026-05-18,2026-05-18,UPTREND,pro,1,047040,대우건설,81.43,29300,2.81,1.89,80.81,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,2,001450,현대해상,79.68,38350,14.99,1.78,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,3,009830,한화솔루션,78.57,43350,6.77,1.71,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,4,010140,삼성중공업,78.26,29550,0.85,1.7,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,5,027360,아주IB투자,76.38,17010,18.87,1.58,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,6,088350,한화생명,76.19,5670,5.19,1.57,82.19,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,7,011200,HMM,74.38,19960,0.35,1.46,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,8,011000,진원생명과학,72.7,1051,9.48,0.95,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,9,000660,SK하이닉스,71.54,1840000,1.15,1.29,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,10,006360,GS건설,70.77,31500,-1.56,0.87,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,11,005930,삼성전자,69.58,281000,3.88,1.17,78.35,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,12,322000,HD현대에너지솔루션,67.61,212000,7.72,1.06,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,13,066430,아이로보틱스,66.74,4000,29.87,0.7,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,14,321370,센서뷰,64.82,3685,22.83,0.62,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,15,000370,한화손해보험,64.63,7120,9.04,0.61,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,16,001740,SK네트웍스,61.47,8250,-5.39,0.48,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,17,028050,삼성E&A,61.2,49500,-2.17,0.47,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,18,005880,대한해운,60.26,2500,0.4,0.43,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,19,290690,소룩스,59.02,5730,2.87,0.38,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,20,028670,팬오션,58.32,5950,-1.33,0.35,,,,,,,,
